Venue,City,Stadium_Capacity,VIP_Capacity,Premium_Capacity,Economy_Capacity
M. A. Chidambaram Stadium,Chennai,38000,2000,8000,28000
Wankhede Stadium,Mumbai,33000,1800,7000,24200
M. Chinnaswamy Stadium,Bengaluru,40000,2500,9000,28500
Narendra Modi Stadium,Ahmedabad,132000,6000,26000,100000
Rajiv Gandhi International Stadium,Hyderabad,55000,3000,12000,40000
Arun Jaitley Stadium,Delhi,41000,2200,9000,29800
Eden Gardens,Kolkata,68000,3500,15000,49500
Sawai Mansingh Stadium,Jaipur,30000,1500,6000,22500
Punjab Cricket Association Stadium,Mohali,27000,1200,5000,20800
BRSABV Ekana Stadium,Lucknow,50000,2500,10000,37500